Temperature (°C),Humidity (%),Accel_X (g),Accel_Y (g),Accel_Z (g),Soil_Moisture,Light_Intensity (Lux),LIS3DH_Temp (°C),BME680_Temp (°C),BME680_Humidity (%),BME680_Pressure (hPa),BME680_Gas (Ohms)
25.81,32.57,1.123,-0.71,-0.21,397.92,435.87,29.23,33.53,53.24,971.7,986.72
23.17,64.63,1.626,-0.454,0.509,588.74,1541.13,31.38,22.57,44.72,981.65,673.59
33.58,74.81,1.6400000000000001,1.1970000000000003,1.256,566.81,1483.08,26.88,24.06,38.96,1039.81,983.91
33.3,43.04,-0.785,-0.643,-0.759,724.62,1678.77,24.36,30.32,66.27,957.04,763.67
22.3,56.05,-0.134,1.462,0.501,610.17,1737.52,33.39,23.7,77.96,980.67,976.07
30.74,70.47,-0.214,-1.299,0.879,523.61,747.61,28.97,33.08,33.18,998.92,930.97
27.65,42.25,-0.922,-0.14500000000000002,-0.185,230.66999999999996,1866.38,28.27,29.92,43.68,1040.32,679.51
33.07,67.56,-1.695,-1.629,-0.729,363.82,668.69,20.47,33.89,38.56,1039.11,608.29
24.69,63.22,-1.3419999999999999,0.431,0.681,551.33,275.81999999999994,28.0,31.42,70.44,1048.79,975.18
27.25,40.08,1.75,0.16799999999999998,-0.4020000000000001,678.41,1405.18,23.05,27.54,54.37,1038.49,206.12
34.97,63.84,-0.91,0.423,0.213,412.52,1205.03,27.22,24.04,38.72,1033.0,773.99
28.57,57.9,1.464,1.61,-1.76,721.23,1046.99,23.61,21.16,63.91,1042.23,816.55
24.67,40.51,-0.657,-1.202,-1.383,299.46,857.17,22.31,31.21,72.86,979.61,837.49
34.2,71.39,1.012,0.049,-0.772,481.28,1757.16,21.03,23.33,72.83,953.51,748.28
23.28,43.33,-0.9959999999999999,0.047,1.275,709.36,1249.85,34.31,32.8,61.9,980.61,271.97
32.85,49.01,-1.5520000000000003,1.145,1.573,694.33,842.28,22.09,22.04,48.68,1033.19,399.19
32.92,40.16,-0.126,0.203,-0.294,678.8,1361.54,25.58,28.83,53.66,963.5,913.57
26.41,31.48,-1.1519999999999997,-0.501,0.24799999999999997,543.06,1933.86,20.25,31.63,70.11,1015.82,762.98
33.1,79.67,-0.785,-0.9979999999999999,-1.8649999999999998,367.6,1694.27,24.12,31.41,37.25,968.54,410.43
22.19,39.3,1.532,0.743,0.094,750.0,400.13,23.12,25.1,50.56,1042.47,762.68
34.66,66.45,1.537,0.777,-0.583,417.59,1070.57,25.3,22.73,48.63,964.51,465.3
31.33,48.04,-1.047,-1.9640000000000002,1.154,786.89,1295.43,20.06,31.4,43.29,1027.43,437.91
27.61,45.79,-0.095,-0.442,-0.461,386.1,333.03999999999996,25.33,24.4,60.05,1012.25,781.65
28.02,40.95,1.9189999999999998,-1.192,-1.544,573.57,1407.19,33.62,28.95,37.61,1022.97,575.71
32.63,67.42,-0.801,0.696,-0.885,569.32,1251.5,21.18,20.55,58.84,991.78,203.07
28.82,50.12,1.895,0.6209999999999999,0.49700000000000005,210.77999999999997,857.73,31.19,23.3,46.33,971.98,158.68
34.93,58.29,0.108,0.342,1.04,475.67,1610.3,34.8,24.0,75.6,1027.87,940.18
30.27,65.63,0.27,-1.924,-0.774,391.32,1262.32,29.35,34.99,75.41,1022.11,754.76
30.75,57.97,1.789,0.053,-0.903,541.97,1511.85,23.57,24.29,42.78,956.71,243.09000000000003
20.76,32.93,-1.929,-1.582,-0.7090000000000001,737.59,194.06999999999994,21.67,32.43,54.63,1032.93,377.68
30.38,68.61,0.713,0.783,-0.46799999999999997,476.37,445.95000000000005,20.14,27.14,74.72,988.12,470.56
27.55,39.69,0.339,-0.074,0.371,439.68,1472.72,34.53,34.17,46.29,951.51,504.63
28.87,71.83,0.792,-1.084,1.401,506.28,704.47,26.26,26.51,69.75,980.75,543.56
25.16,44.76,-0.261,1.887,1.92,595.95,694.76,20.29,27.06,55.45,969.13,724.44
23.3,57.93,1.959,-1.942,0.183,535.86,540.44,28.49,28.78,57.19,1047.68,481.82
20.75,56.35,-1.612,0.687,-1.911,605.29,646.05,29.43,32.35,43.17,993.31,922.71
30.24,38.29,1.86,1.343,1.012,518.9,162.60000000000002,26.42,34.52,33.48,1034.38,934.75
27.47,50.14,-0.8449999999999999,-1.192,0.309,562.16,1080.17,27.02,26.06,62.93,985.67,825.87
31.7,77.08,1.463,1.0,-1.167,496.02,995.1,34.81,32.29,44.41,974.12,984.01
26.14,33.16,1.069,-0.724,0.24899999999999997,245.87,1234.79,28.59,23.74,64.19,990.58,247.35000000000002
34.24,62.4,-0.782,0.549,-1.756,377.65,581.7,27.28,21.5,69.48,1023.35,677.89
24.63,44.14,0.545,0.339,1.823,241.39999999999998,1938.7,23.94,27.75,53.59,1039.35,679.7
22.29,54.85,-1.544,1.312,-0.685,373.15,1153.79,26.81,29.44,37.49,955.23,941.28
26.79,71.1,0.615,-0.725,0.464,413.67,1507.49,20.17,21.35,66.74,988.16,762.68
22.78,57.0,0.079,-1.836,0.49500000000000005,524.2,1538.59,29.95,30.89,76.78,1038.22,414.59
22.37,56.41,0.9810000000000001,0.758,-0.11200000000000002,732.17,1387.59,29.13,32.64,68.77,1036.16,672.19
30.71,42.31,-0.616,-0.923,-1.919,644.1,1496.18,28.49,29.8,65.73,1009.74,514.45
32.12,34.13,-0.908,-1.129,0.692,314.22,850.82,25.75,25.67,51.25,998.22,216.94
20.88,31.67,1.443,1.293,-0.05,684.99,1532.69,27.54,24.56,43.37,1040.75,842.28
22.34,41.35,-0.971,0.416,-1.926,416.08,595.4200000000001,24.29,29.09,51.41,965.3,887.0
29.42,40.29,0.12299999999999998,0.532,-1.728,331.09,772.85,20.7,28.03,68.14,978.9,794.27
20.75,74.76,1.256,-0.205,1.61,348.69,1227.88,34.11,33.85,70.8,957.86,321.07
29.1,59.98,-0.857,1.781,1.7500000000000002,336.26,141.0,26.35,30.22,79.04,1037.34,693.11
33.62,64.86,0.543,-1.501,1.08,332.4,1768.06,30.53,28.19,38.57,1035.06,693.12
33.49,47.7,-0.201,1.951,1.863,344.74,1860.31,27.18,22.55,51.88,954.13,787.99
27.34,72.82,1.907,-1.7930000000000001,-0.602,429.86,1808.35,21.82,20.52,71.1,1015.23,803.45
24.17,78.0,0.117,-1.288,-0.598,729.09,1490.54,24.43,29.98,61.43,972.92,547.37
24.12,40.08,-1.952,-0.016,-0.7790000000000001,324.81,861.89,29.21,31.87,49.29,1048.64,653.22
26.65,61.4,-0.432,0.15,-1.379,610.15,1562.21,26.45,33.95,58.2,999.01,197.96000000000004
22.93,79.56,-0.6640000000000001,-0.431,1.849,716.4,1694.43,24.16,21.05,61.15,967.96,940.26
33.54,40.69,0.30399999999999994,-0.078,1.063,429.3,1846.85,22.64,24.99,70.01,1038.75,506.24
27.33,45.23,1.497,-1.031,0.7730000000000001,316.25,1719.0,29.51,22.51,49.97,963.96,650.09
34.32,51.93,1.773,0.941,-0.876,363.73,667.17,32.73,28.79,51.83,1016.96,375.66
27.74,51.07,-1.328,0.328,0.319,419.59,148.18000000000006,27.84,31.61,55.38,1024.89,924.01
20.25,57.86,1.52,-1.731,-0.058,327.13,1848.95,24.82,30.04,47.03,1025.99,239.51999999999998
20.86,37.58,1.754,1.587,-0.055999999999999994,442.66,1993.16,33.99,20.76,41.91,1004.06,588.63
30.1,67.44,-1.3849999999999998,1.665,0.713,310.01,1238.22,29.57,20.19,44.42,993.33,291.41
31.09,70.31,-1.1,-0.906,-1.791,467.37,402.0,29.64,34.84,58.91,1001.77,692.87
32.9,50.07,0.365,1.705,0.41,594.36,367.13,28.62,28.67,62.58,995.8,434.16
28.97,60.39,-1.1519999999999997,-0.571,-0.494,373.43,254.5,22.93,27.45,71.76,1049.02,287.03
23.21,44.79,-0.581,-1.26,-1.272,643.03,224.34000000000003,31.19,32.91,67.5,979.85,786.52
24.84,36.97,-1.041,1.057,1.388,461.75,333.94000000000005,32.82,22.17,56.16,992.31,893.02
23.97,62.44,-0.232,-1.579,1.596,395.41,1761.4,24.94,25.99,39.4,954.93,459.27
32.96,73.15,0.461,0.711,0.794,265.23,1175.14,27.91,32.64,68.71,951.66,232.35000000000002
23.28,57.88,-1.4829999999999999,0.204,1.13,609.76,325.46000000000004,32.35,21.21,66.78,1037.94,133.89
27.67,33.82,1.836,0.459,-1.931,287.8399999999999,1947.74,34.84,31.37,51.65,951.44,232.39
22.91,47.32,-1.064,-0.622,-1.992,312.44999999999993,471.03999999999996,26.06,29.76,32.63,962.05,633.0
28.51,50.14,0.341,-1.917,-0.5020000000000001,293.11,499.25,23.74,21.68,44.4,976.24,901.82
34.57,33.42,0.31700000000000006,0.074,0.382,382.32,303.0899999999999,31.44,33.24,49.92,1038.93,345.94
27.77,49.79,-1.489,-1.179,0.353,343.81,1959.6,29.47,21.67,36.91,1002.39,305.02
28.9,59.62,0.647,-0.485,-1.331,262.59,1510.25,33.06,30.6,79.01,1004.7,447.21
33.14,45.71,-0.379,1.179,0.874,427.83,1627.08,23.03,25.79,54.37,983.48,108.67000000000002
28.83,63.55,0.595,-0.093,1.995,592.94,1905.7,29.79,28.81,79.91,1030.89,898.55
22.76,47.07,-0.197,-0.934,1.664,238.40999999999997,807.51,26.9,26.89,47.45,951.1,824.84
21.9,79.03,-1.219,0.643,0.49900000000000005,798.18,1521.27,32.9,21.62,33.97,961.04,724.14
22.35,73.67,-0.30699999999999994,-0.658,0.605,721.74,402.80999999999995,34.03,32.54,71.22,952.6,517.72
25.81,66.7,1.319,-0.486,-1.653,338.29,1796.25,34.73,30.88,54.0,985.09,114.85000000000002
22.49,47.77,-1.977,-1.811,-0.978,202.32,191.03999999999996,32.84,23.32,73.35,961.02,386.89
29.08,54.18,0.728,1.274,-1.646,287.78999999999996,1933.06,23.53,24.74,58.07,1013.77,214.01999999999998
29.4,64.07,-0.893,0.612,-1.995,250.23,404.63,31.51,23.4,31.31,1028.16,863.14
23.12,57.07,-1.209,-0.499,-0.575,674.01,1414.95,31.01,22.83,71.25,966.74,298.98
21.91,55.27,0.552,1.873,-1.2350000000000003,478.39,265.98,31.12,26.88,42.37,973.56,950.53
27.42,67.29,-1.708,-1.8009999999999997,1.867,297.66,500.3399999999999,27.79,26.87,63.58,954.16,103.15999999999997
23.5,62.68,-0.866,1.622,-1.402,456.6,1900.22,26.97,30.15,48.71,1046.11,902.9
22.96,30.67,-1.512,0.765,0.904,469.09,1113.91,20.19,34.44,38.24,1036.68,252.36
34.34,57.5,1.462,-1.92,-1.232,546.43,250.80999999999995,22.9,21.68,51.37,956.9,922.36
24.03,78.24,-0.316,-0.797,-1.103,376.9,1089.6,27.42,20.94,55.48,951.12,634.76
26.05,49.6,1.8960000000000001,1.385,0.012999999999999998,367.2,1087.28,23.43,24.11,55.11,977.94,675.17
23.86,50.63,1.27,0.678,1.269,601.6,822.85,31.62,28.48,49.94,1001.16,964.58
25.17,30.7,0.315,0.048,-1.63,397.57,1941.96,32.99,29.99,47.17,968.32,121.98000000000002
32.51,38.81,0.008999999999999998,-0.334,-1.269,556.66,1467.77,29.44,21.44,37.4,981.58,509.09
34.34,36.88,1.993,1.133,1.834,251.94,1234.5,28.23,20.1,55.88,960.09,320.31
31.46,73.06,0.411,-1.894,1.558,749.48,1849.03,30.99,28.97,41.94,1040.89,703.64
26.53,36.95,1.4329999999999998,0.442,1.182,557.35,240.86,34.71,20.87,34.56,989.26,376.85
32.84,45.48,1.4390000000000003,-1.362,-1.521,200.26,1811.94,33.1,28.01,70.28,1039.56,544.7
29.41,33.27,1.4130000000000003,-1.267,0.221,539.15,474.80999999999995,31.9,25.98,54.02,993.77,885.92
25.91,74.32,-0.267,-0.025,1.6139999999999999,686.32,1197.0,23.99,27.2,44.69,990.42,384.92
31.43,51.84,0.05899999999999998,0.988,-1.366,626.03,709.11,31.45,22.1,75.83,1037.56,166.72000000000003
21.02,56.42,1.481,-0.302,1.891,774.61,1867.05,31.72,20.15,33.98,960.12,687.86
20.72,66.94,-1.511,1.964,1.327,491.06,502.19000000000005,33.96,21.9,44.31,973.42,467.63
28.14,69.51,-0.819,-1.59,-0.721,311.42,107.89999999999998,31.92,34.6,58.17,1041.19,246.52999999999997
32.12,55.83,0.851,0.7,-0.539,295.91,1793.5,24.94,30.08,50.53,1024.92,424.79
20.94,42.43,1.94,-1.279,1.554,265.63,1098.67,21.9,33.48,63.48,962.22,733.75
23.19,34.4,-1.666,1.7860000000000003,1.747,535.37,1472.1,23.8,28.35,44.21,1048.17,876.84
29.81,73.81,-0.156,-0.922,1.36,449.04,121.60000000000014,27.86,31.28,43.35,990.02,785.55
20.94,69.1,-0.667,0.617,-0.183,715.07,150.53999999999985,29.06,34.13,69.57,1010.52,800.94
27.91,48.09,1.782,1.568,-1.26,775.04,1379.66,33.15,32.14,56.52,957.09,944.22
33.78,64.61,-0.181,-1.817,-1.674,493.33,902.54,31.6,33.54,40.1,1013.44,287.0
26.28,31.69,-1.993,-0.502,-1.884,678.47,1657.83,29.89,29.13,68.65,1010.64,841.51
28.03,76.38,0.611,-0.643,-1.3540000000000003,508.88,1240.24,22.91,21.82,38.45,962.52,181.5
32.36,72.51,-1.34,0.482,-1.22,760.76,641.94,22.77,34.47,48.68,1040.23,200.32
28.45,42.29,0.431,0.798,-0.935,351.74,151.72000000000003,31.68,29.36,38.39,1007.66,561.39
21.12,37.16,-0.291,-1.695,-0.668,599.45,395.44000000000005,30.3,28.02,34.72,985.69,455.08
20.73,78.2,-0.667,-0.494,-1.245,287.65,1715.25,26.49,20.25,78.07,1017.44,223.12
33.19,51.67,1.657,0.927,0.2879999999999999,698.18,1245.38,32.75,30.23,49.66,1001.53,448.93
34.69,54.25,-1.498,0.551,-1.224,724.29,175.02999999999997,25.22,32.77,52.29,973.31,320.15
30.78,36.93,0.135,1.1519999999999997,1.836,431.04,924.86,31.07,21.72,74.55,1026.5,134.0
23.14,75.82,-0.9070000000000001,-0.735,-0.125,224.64999999999998,1130.24,20.8,23.25,53.28,1038.69,234.91999999999996
31.55,50.07,-1.051,1.567,1.608,644.34,1795.15,29.91,34.05,38.22,1018.05,190.12
26.06,63.49,-0.937,0.551,1.083,634.69,1096.12,21.76,24.4,75.08,1027.17,154.56
20.11,38.4,-1.743,-1.121,0.009000000000000001,664.97,473.38,25.24,22.3,66.96,965.69,593.51
34.96,45.37,1.391,-0.446,1.386,464.53,409.14,27.92,33.23,47.56,1041.56,156.45
27.2,36.79,-1.037,0.656,-1.4099999999999997,567.23,1149.18,33.69,31.58,34.92,974.0,886.17
22.55,49.02,0.838,-1.227,-0.507,283.04,1334.01,26.38,31.55,43.35,1042.51,373.66
28.52,72.01,-0.482,-0.397,-0.638,690.62,162.27999999999997,32.6,29.66,77.57,977.83,907.79
22.68,79.78,0.145,-1.992,-0.178,641.04,955.7,30.63,30.82,76.08,1003.65,832.86
22.39,71.57,-0.631,0.905,-0.805,607.73,1297.33,27.94,20.31,79.43,961.91,884.1
28.07,68.73,0.615,-1.114,-0.767,700.84,1969.74,24.11,22.79,60.86,1046.73,717.52
26.89,60.52,-1.724,0.284,1.725,531.61,1075.87,21.95,34.63,44.05,978.09,719.14
21.44,48.01,-1.16,-1.723,1.834,513.71,1016.37,25.88,34.03,73.17,955.48,840.5
33.64,71.35,-1.2500000000000002,0.776,0.941,507.65,1185.79,23.44,27.62,45.65,1014.47,472.59
27.65,70.5,-1.2669999999999997,-0.0019999999999999996,0.83,347.17,1280.45,25.98,33.11,60.92,1040.21,644.77
23.41,37.29,1.9450000000000003,-0.439,-1.598,314.33,974.44,24.01,31.06,41.3,1016.46,319.46
25.64,56.28,0.68,-0.43300000000000005,-0.20200000000000004,243.15999999999997,174.73000000000002,22.91,30.01,37.52,971.98,805.8
20.85,54.31,0.295,1.371,-0.672,442.49,781.0,22.31,34.56,77.5,967.18,682.41
23.99,47.15,-0.21,-1.9640000000000002,1.178,382.4,1448.8,32.33,27.78,65.24,1006.25,196.38
32.37,64.49,-0.642,-0.496,-1.681,615.38,594.49,29.58,33.22,77.54,988.41,538.32
22.2,47.5,1.58,1.236,0.77,773.07,1344.81,23.71,33.08,63.78,1033.37,113.68
27.69,48.86,-1.829,-0.806,1.4269999999999998,594.13,435.13,26.82,31.41,52.69,1030.05,252.15999999999997
31.51,59.45,-1.363,1.9950000000000003,1.9969999999999999,235.95,1592.78,21.2,21.79,35.62,953.1,607.18
26.92,58.55,1.307,-0.203,0.691,249.52999999999997,979.32,23.65,28.55,73.59,965.07,114.12
30.95,46.06,-1.414,1.825,-1.269,755.56,1945.64,23.78,24.42,63.23,992.86,811.03
26.66,53.29,-0.745,-1.893,-1.612,208.16999999999996,1531.79,34.68,24.48,30.03,1002.54,110.74000000000001
34.4,39.67,-0.647,-1.019,1.917,751.72,1792.86,22.22,30.73,71.43,1025.37,284.44
22.43,79.91,-0.409,1.933,-1.824,309.05,846.18,24.3,27.87,49.82,1014.56,150.32
20.56,67.41,1.829,-1.6789999999999998,0.974,224.64,1569.15,28.79,31.68,76.41,1026.16,937.21
30.0,62.38,-0.393,-1.4320000000000002,-0.845,545.77,325.30999999999995,34.25,26.15,60.14,1031.31,997.31
32.06,37.14,1.2719999999999998,-1.374,1.935,679.29,741.99,30.41,21.51,42.96,967.49,407.22
28.39,63.94,1.311,0.701,-1.145,279.77,868.65,33.3,29.11,45.3,1026.68,566.27
34.37,72.59,0.188,-1.5310000000000001,-0.17,418.23,1100.9,28.29,26.43,43.71,980.9,470.67
33.63,69.95,-0.791,1.443,-1.222,485.85,1657.0,24.44,24.64,70.18,1044.09,237.13
32.5,65.29,0.987,-1.03,-0.093,246.31,1744.84,20.01,24.87,74.88,1012.71,365.67
28.77,40.98,-0.804,-0.885,0.6370000000000001,466.69,1463.08,25.48,32.4,32.85,1015.44,849.88
26.84,50.58,-0.495,1.3569999999999998,-0.714,432.34,860.71,24.88,32.44,41.26,1013.19,790.47
25.26,35.76,-1.928,-0.088,-1.206,481.91,345.1,34.39,25.06,75.77,981.04,274.76
20.82,50.19,-1.053,1.188,1.097,643.95,282.1200000000001,33.35,22.08,78.86,1049.82,491.83
33.52,57.94,-1.145,1.993,-0.531,709.61,526.83,27.11,30.91,37.22,1034.84,222.85000000000002
21.73,33.19,-0.21,-1.659,0.6030000000000001,517.45,1205.77,34.83,33.44,75.57,1012.89,242.36
22.56,32.95,1.8,1.019,0.779,483.75,345.18000000000006,22.24,29.99,65.51,963.52,222.74
27.78,32.03,1.909,1.075,1.515,703.09,405.0799999999999,34.0,28.68,49.07,1024.04,965.93
28.43,44.38,-0.063,1.269,1.158,738.13,1740.42,24.78,22.11,73.41,981.8,619.34
34.67,46.08,0.905,1.113,-1.007,375.06,1354.76,21.62,30.84,46.6,986.75,425.54
27.68,71.68,1.205,1.807,-0.03,657.79,172.22000000000003,23.5,27.21,74.68,982.86,403.91
20.62,79.0,0.153,0.38200000000000006,1.875,346.72,881.14,28.8,26.02,75.0,983.82,603.56
34.06,55.78,-0.073,1.005,0.955,561.43,286.36,29.89,31.82,75.81,1008.55,105.93
21.05,74.67,1.797,-1.909,1.806,760.09,1335.58,31.77,31.47,33.6,1033.63,657.61
23.1,75.62,0.008999999999999998,-0.018,1.112,297.08,369.8399999999999,25.32,23.61,50.07,1013.71,204.53999999999996
31.75,34.98,0.137,-1.268,-0.321,338.88,1260.53,32.85,22.3,31.57,992.6,249.14999999999998
24.08,51.49,1.541,-1.862,1.149,216.51999999999998,1189.33,25.72,34.11,47.91,954.2,160.99
32.2,69.82,-0.751,0.576,1.561,233.38,1579.64,34.52,25.17,68.67,968.12,902.02
21.7,50.87,0.34500000000000003,-1.716,-0.005000000000000001,412.2,1632.8,28.32,28.69,54.67,967.47,591.46
28.68,42.58,-1.496,-0.541,0.31,508.63,1352.27,34.41,22.97,69.65,962.05,917.81
23.26,60.27,0.008,0.6380000000000001,-1.098,357.33,954.28,22.51,33.55,75.75,958.75,411.83
29.17,46.5,-0.679,-0.999,0.198,685.3,997.78,27.84,25.71,77.45,1039.15,220.02999999999997
20.08,64.89,-0.276,0.267,-0.341,220.93,655.97,23.62,26.0,51.85,1013.5,555.87
29.08,53.67,-1.926,1.727,0.225,757.67,1007.92,32.64,32.63,52.5,1023.54,307.48
21.29,75.3,1.86,-1.365,-1.661,514.29,1282.11,20.74,33.62,39.44,1025.72,579.54
26.96,74.85,0.17,0.943,-0.914,452.28,1384.32,23.11,26.41,44.53,994.06,816.91
23.04,48.6,-0.096,1.227,-0.613,337.17,1181.73,32.53,22.03,79.15,968.49,545.62
22.57,59.54,-0.232,-0.544,-1.483,208.86,378.6600000000001,34.73,23.12,66.5,1041.72,404.32
33.86,34.98,1.294,0.896,-0.319,532.0,775.65,26.47,33.36,63.42,950.28,198.51999999999998
25.98,78.58,0.7020000000000001,-1.232,0.932,465.04,1484.44,28.35,26.56,30.31,993.42,867.01
29.33,75.53,0.384,0.898,-0.088,640.83,1551.1,27.47,20.76,55.74,998.93,259.84
25.27,38.02,0.44,1.403,-0.981,793.42,1597.71,32.51,27.9,43.13,1037.77,346.98
26.86,39.3,1.936,-1.054,1.655,715.49,873.23,24.9,28.41,70.83,1031.88,425.99
32.99,49.8,1.376,-1.372,-0.81,779.08,1792.84,33.42,31.55,75.25,984.61,582.45
28.91,79.27,-1.07,0.042,0.866,280.61,1689.66,26.54,33.81,31.66,1038.39,382.81
32.41,42.61,0.648,-1.861,1.844,307.27,1808.82,30.52,28.84,41.84,1029.45,882.52
21.99,51.07,0.53,1.712,-1.432,560.66,138.08000000000004,27.78,21.93,45.4,956.53,165.51999999999998
34.82,57.34,1.072,0.693,1.311,367.34,1238.08,21.29,33.21,68.41,959.78,742.89
32.74,71.49,-0.13,-1.552,0.041,338.92,609.6,23.87,26.99,70.95,979.26,688.71
24.82,62.15,-0.593,-0.613,1.6180000000000003,645.12,417.31999999999994,23.91,28.06,64.65,1006.94,573.65
22.99,59.13,-1.6409999999999998,0.072,0.353,211.38,1299.38,31.65,26.84,56.61,973.76,514.54
25.1,46.5,1.068,0.894,-0.738,717.07,324.05999999999995,32.26,25.44,63.89,958.21,995.1
21.42,53.96,1.9990000000000003,-1.933,-0.283,706.09,279.30999999999995,26.68,22.88,33.46,1000.33,580.73
27.31,36.38,-1.195,-1.799,0.5839999999999999,742.32,606.87,23.79,34.08,78.81,986.02,105.88999999999999
27.43,44.35,0.8759999999999999,-0.03400000000000001,-1.956,716.12,1287.63,20.71,33.9,65.01,995.05,881.83
20.29,47.94,0.91,-0.798,-1.532,782.81,889.09,21.7,25.58,47.75,1024.94,926.76
21.88,44.17,1.852,1.177,0.96,654.53,1023.02,27.02,21.85,56.4,983.48,618.43
25.74,65.32,-0.379,-0.048,-1.993,559.88,754.52,32.03,21.59,64.0,993.41,675.27
28.59,66.69,-0.28,-1.287,-1.008,274.6,1869.55,30.23,20.27,79.64,997.52,568.56
22.39,36.78,-1.858,0.989,1.392,276.28,576.23,31.31,20.35,56.93,1015.52,718.46
22.6,56.6,-1.1979999999999997,-1.732,1.91,272.74,1249.84,24.29,30.71,70.6,954.7,970.62
34.4,60.37,-0.805,-0.756,0.15,754.14,1882.43,29.61,33.7,42.3,1030.55,479.96
25.61,69.55,0.615,1.175,0.879,702.21,1132.0,22.51,26.08,60.3,1003.65,410.74
26.69,73.32,1.739,1.445,1.327,516.39,1288.72,27.09,26.48,71.47,1011.4,673.04
26.01,34.11,-1.098,-1.243,0.352,412.08,564.93,30.46,28.45,42.57,1022.48,744.14
30.4,73.64,1.723,-1.697,-0.08499999999999999,519.54,1401.95,28.13,28.2,45.38,972.86,746.28
34.69,54.81,0.349,-0.8230000000000001,-0.882,262.4,972.38,33.19,27.59,74.62,1038.93,289.74
25.39,32.02,0.372,1.432,1.426,523.68,1891.62,25.59,34.81,67.25,1030.36,870.01
27.06,43.94,-0.182,1.178,-0.555,208.23000000000002,517.87,24.93,29.29,55.41,965.01,210.5
27.54,63.25,1.5189999999999997,1.112,-0.41600000000000004,677.78,1893.9,25.36,20.05,35.1,960.11,133.76
33.42,48.95,-0.569,-0.76,0.361,778.11,814.4,32.36,33.79,65.56,981.94,724.57
29.35,30.67,1.309,-0.499,1.9,754.26,1376.76,26.35,24.66,30.75,1000.74,631.83
25.04,63.39,0.883,0.074,-0.24300000000000002,462.82,1006.3,22.04,33.94,75.17,996.75,218.95
26.21,61.08,-1.123,-1.727,0.131,407.86,737.84,20.57,23.99,57.1,985.84,882.14
26.53,50.19,-1.052,-1.2229999999999999,1.648,234.76,1301.42,21.19,26.72,56.39,980.77,539.3
20.39,60.87,-1.864,-0.651,0.018999999999999996,605.85,1697.14,33.1,34.72,49.53,955.97,526.34
22.15,75.81,-1.228,-1.383,-0.203,459.22,1546.42,21.26,21.58,45.68,986.95,481.18
22.66,34.88,0.505,-1.225,-0.153,529.35,1872.5,23.93,30.3,80.0,1004.27,998.09
34.02,60.21,-0.118,-1.616,0.722,534.25,1421.44,23.88,30.28,68.98,969.27,579.06
31.89,49.06,-1.957,1.098,-1.5969999999999998,289.56,1266.8,27.54,26.4,51.91,1018.28,204.03999999999996
30.73,45.16,1.687,-1.779,-1.569,410.62,1273.56,34.16,34.07,43.2,996.02,421.61
23.19,41.86,1.8,-1.54,0.608,680.43,301.6,30.98,27.32,45.28,1006.04,188.07
32.89,75.7,1.405,-0.752,1.611,593.09,1687.92,29.78,32.96,39.31,995.49,338.2
29.9,53.78,0.893,0.403,-0.092,524.52,1746.03,33.05,23.52,36.55,963.04,827.77
31.67,79.57,-1.649,-1.6980000000000002,-1.7119999999999997,462.27,324.54999999999995,21.76,20.09,71.05,960.5,793.54
24.48,63.55,-0.965,1.117,-1.124,775.91,641.24,26.51,25.71,65.15,987.06,748.01
21.41,76.5,1.374,-0.566,-1.272,581.75,1943.04,21.9,31.19,71.26,1008.39,124.68
30.95,30.97,1.9880000000000002,-0.78,-1.721,464.97,604.46,25.67,33.85,54.59,1027.68,654.22
27.77,68.87,-0.66,0.104,0.625,242.72000000000003,1921.89,29.88,20.91,58.28,1015.56,258.19
26.7,47.49,0.612,2.0,-2.0,613.26,1956.63,34.55,25.15,50.66,963.68,436.59
30.73,58.7,-0.9860000000000001,0.358,-0.956,225.24,180.81999999999994,26.09,28.56,72.89,1049.26,832.45
24.46,73.81,0.815,0.477,-1.979,706.2,818.48,24.44,26.75,39.61,985.26,467.47
31.44,74.64,-0.634,-1.8349999999999997,-0.358,622.93,1913.2,23.81,27.99,32.09,979.84,546.81
23.99,70.86,-0.014,0.30799999999999994,0.911,656.25,459.0799999999999,26.57,28.62,53.17,1009.46,210.95
33.63,42.35,-0.677,-0.026,-0.934,521.31,649.23,23.31,27.33,67.21,1009.39,613.81
31.48,59.54,0.344,1.552,1.713,334.77,374.06999999999994,24.8,33.21,33.09,976.35,258.62
31.16,38.91,-0.989,-1.592,1.453,579.8,1603.39,23.5,34.62,54.67,1034.96,426.74
30.91,53.37,-0.705,1.857,1.395,535.24,1936.97,25.36,33.0,60.96,991.48,776.76
30.56,72.17,1.446,-0.937,1.214,519.25,534.38,31.75,21.74,32.59,1009.81,748.62
23.77,59.5,-1.656,0.96,0.882,471.92,235.11,34.51,31.14,60.59,968.03,817.34
34.7,61.66,-1.537,0.709,-1.917,702.08,1415.23,22.87,34.66,72.69,1046.5,263.61
34.17,66.78,-1.722,-1.076,1.124,536.32,448.55000000000007,25.81,30.27,58.66,985.83,822.52
22.64,34.66,1.915,0.376,-1.815,518.22,1508.54,34.47,34.34,77.04,973.66,176.59000000000003
27.62,42.02,-1.867,0.449,-1.121,788.71,1199.52,33.1,25.4,50.66,1005.13,197.11
21.02,79.65,1.394,-1.971,1.682,279.9,406.85,21.35,31.82,63.93,957.57,891.9100000000001
33.4,48.21,-0.446,1.821,-1.561,529.46,1226.33,29.63,21.96,63.4,986.52,470.69
